MATCHSTATE:1:0:crrrc/cc/rrrrc/crrc:5d5c|9hQd/8dAs8s/4h/6d
MATCHSTATE:0:1:f:6sKs|
MATCHSTATE:1:2:crf:|2h4c
MATCHSTATE:0:3:rrrc/rrc/cc/crrrc:4s8s|6hJd/QhJs9d/Qc/9h
MATCHSTATE:1:4:rc/crrc/rrrf:|Kc7d/KsAsJd/Th
MATCHSTATE:0:5:rf:KhTh|
MATCHSTATE:1:6:crrrf:|5cAs
MATCHSTATE:0:7:crf:Ah6c|
MATCHSTATE:1:8:f:|Js7c
MATCHSTATE:0:9:rrc/cc/rrf:Qd5h|/AsKs3h/Th
MATCHSTATE:1:10:rrrc/rc/rf:|Jd5c/6s7c4h/Ks
MATCHSTATE:0:11:rrc/cc/cc/cc:9dTc|9s4h/3h7c2h/9h/Ts
MATCHSTATE:1:12:rc/rf:|AdQd/9d7h4h
MATCHSTATE:0:13:rc/crf:8h9s|/7hJcKc
MATCHSTATE:1:14:f:|6sQh
MATCHSTATE:0:15:cc/cc/crrrc/cc:3c4c|Th7s/5d6c8s/6h/3d
MATCHSTATE:1:16:rc/cc/rf:|Ks6c/Ad8c7s/Jd
MATCHSTATE:0:17:rc/crrc/cc/rc:Kc7c|2s7d/As3h6s/Qc/7s
MATCHSTATE:1:18:crrrf:|8d2c
MATCHSTATE:0:19:rrrf:2h6d|
MATCHSTATE:1:20:f:|2s7h
MATCHSTATE:0:21:rc/crc/cc/cc:9sTs|7d4h/5c4sAh/4c/7c
MATCHSTATE:1:22:f:|8dTh
MATCHSTATE:0:23:rrc/cc/cc/crc:6c7s|AcTh/TsAhQh/5s/As
MATCHSTATE:1:24:f:|Qh6s
MATCHSTATE:0:25:crc/rrrc/cc/rc:2s3d|7dTs/Ad4hJh/9c/6c
MATCHSTATE:1:26:rrc/rf:|9h4h/4sTh3d
MATCHSTATE:0:27:cc/crrrc/crrc/cc:2d2s|8s4d/TcAd5d/2c/3h
MATCHSTATE:1:28:f:|Qd2c
MATCHSTATE:0:29:rc/cc/crc/cc:8s2d|8h9d/7h5c7s/7c/Jc
MATCHSTATE:1:30:f:|4sTs
MATCHSTATE:0:31:crc/crrc/crc/cc:Jd9c|6s8s/7s6d5c/Jc/Qc
MATCHSTATE:1:32:f:|7c7d
MATCHSTATE:0:33:rc/crc/crrrrc/crc:Th5d|Qs8h/7sAcJs/Td/7h
MATCHSTATE:1:34:f:|AdAs
MATCHSTATE:0:35:rf:AsAh|
MATCHSTATE:1:36:f:|8c5c
MATCHSTATE:0:37:cc/cc/cc/cc:KcQd|8sJc/9hJh9d/Qs/Kd
MATCHSTATE:1:38:rc/rrc/rf:|Qh8h/6cJc7c/8c
MATCHSTATE:0:39:crc/cc/cc/cc:9sTc|6cAs/3d6s2d/Ac/Jc
MATCHSTATE:1:40:rc/rc/rc/rc:5d6s|8hKc/Kd3d2h/8d/Td
MATCHSTATE:0:41:rrrf:4d6d|
MATCHSTATE:1:42:f:|Kc8s
MATCHSTATE:0:43:cc/crc/cc/rc:7s8h|9h4c/Ts9s6d/4d/5c
MATCHSTATE:1:44:f:|3dJh
MATCHSTATE:0:45:cc/rrf:5c3s|/9sKh8s
MATCHSTATE:1:46:rc/cc/rf:|5cQh/6s3d9h/3c
MATCHSTATE:0:47:cc/cc/rrrrf:Qc2s|/9d8s2h/6s
MATCHSTATE:1:48:rc/rf:|Jd4c/3hAc4d
MATCHSTATE:0:49:rrrf:QhTd|
MATCHSTATE:1:50:f:|JsAd
MATCHSTATE:0:51:cc/crf:Ah7c|/7d2c8c
MATCHSTATE:1:52:crf:|Th8h
MATCHSTATE:0:53:cc/cc/cc/rf:Qd5c|/AsTd8d/Kh/Qc
MATCHSTATE:1:54:rrf:|7h9d
MATCHSTATE:0:55:rc/rf:8c6s|/Qc2h8s
MATCHSTATE:1:56:rrf:|9hTs
MATCHSTATE:0:57:rf:5cAh|
MATCHSTATE:1:58:rrc/rrc/rf:|5hKh/JdKsAs/9s
MATCHSTATE:0:59:crc/rrrc/cc/cc:4dTd|9s9c/TcJcKh/5s/7h
MATCHSTATE:1:60:crrrc/cc/rc/rf:|3c4c/Jc3sAs/6c/2c
MATCHSTATE:0:61:cc/crc/cc/crrc:Jd5d|4s4d/6c8h7s/Jh/7h
MATCHSTATE:1:62:f:|Kh2c
MATCHSTATE:0:63:f:7c5s|
MATCHSTATE:1:64:crrf:|8s9h
